run,label_idx,crc_TP,crc_FP,crc_TN,crc_FN,rcps_TP,rcps_FP,rcps_TN,rcps_FN,ltt_TP,ltt_FP,ltt_TN,ltt_FN,name
0,0,219,1057,2020,430,219,1057,2020,430,219,1057,2020,430,df_wo_demo_025
0,1,234,1287,1875,330,234,1287,1875,330,234,1287,1875,330,df_wo_demo_025
0,2,2460,685,110,471,2460,685,110,471,2460,685,110,471,df_wo_demo_025
1,0,381,1925,1192,231,414,2101,1016,198,0,0,3117,612,df_wo_demo_025
1,1,379,2251,929,170,416,2423,757,133,0,0,3180,549,df_wo_demo_025
1,2,2102,559,226,842,2262,601,184,682,0,0,785,2944,df_wo_demo_025
2,0,302,1732,1393,292,330,1860,1265,264,0,0,3125,594,df_wo_demo_025
2,1,265,1447,1727,280,300,1608,1566,245,0,0,3174,545,df_wo_demo_025
2,2,2252,598,175,694,2378,624,149,568,0,0,773,2946,df_wo_demo_025
3,0,298,1523,1574,328,325,1633,1464,301,0,0,3097,626,df_wo_demo_025
3,1,287,1446,1683,307,306,1546,1583,288,0,0,3129,594,df_wo_demo_025
3,2,2329,663,156,575,2400,681,138,504,0,0,819,2904,df_wo_demo_025
4,0,306,1443,1676,301,353,1642,1477,254,0,0,3119,607,df_wo_demo_025
4,1,219,1205,1944,358,255,1432,1717,322,0,0,3149,577,df_wo_demo_025
4,2,2367,625,161,573,2522,659,127,418,0,0,786,2940,df_wo_demo_025
5,0,309,1647,1472,295,309,1647,1472,295,0,0,3119,604,df_wo_demo_025
5,1,363,1679,1439,242,363,1679,1439,242,0,0,3118,605,df_wo_demo_025
5,2,2344,657,163,559,2344,657,163,559,0,0,820,2903,df_wo_demo_025
6,0,268,1469,1660,325,279,1566,1563,314,0,0,3129,593,df_wo_demo_025
6,1,226,1186,1948,362,246,1285,1849,342,0,0,3134,588,df_wo_demo_025
6,2,2397,645,130,550,2482,666,109,465,0,0,775,2947,df_wo_demo_025
7,0,377,2054,1082,207,377,2054,1082,207,0,0,3136,584,df_wo_demo_025
7,1,339,1827,1306,248,339,1827,1306,248,0,0,3133,587,df_wo_demo_025
7,2,2291,602,175,652,2291,602,175,652,0,0,777,2943,df_wo_demo_025
8,0,330,1678,1452,264,360,1844,1286,234,0,0,3130,594,df_wo_demo_025
8,1,328,1878,1307,211,369,2109,1076,170,0,0,3185,539,df_wo_demo_025
8,2,2216,589,181,738,2377,639,131,577,0,0,770,2954,df_wo_demo_025
9,0,381,1945,1176,220,409,2089,1032,192,0,0,3121,601,df_wo_demo_025
9,1,284,1453,1697,288,313,1630,1520,259,0,0,3150,572,df_wo_demo_025
9,2,2260,624,175,663,2398,661,138,525,0,0,799,2923,df_wo_demo_025
10,0,368,1692,1415,242,368,1692,1415,242,0,0,3107,610,df_wo_demo_025
10,1,306,1652,1486,273,306,1652,1486,273,0,0,3138,579,df_wo_demo_025
10,2,2386,641,165,525,2386,641,165,525,0,0,806,2911,df_wo_demo_025
11,0,309,1717,1411,283,309,1717,1411,283,0,0,3128,592,df_wo_demo_025
11,1,315,1778,1391,236,315,1778,1391,236,0,0,3169,551,df_wo_demo_025
11,2,2389,641,134,556,2389,641,134,556,0,0,775,2945,df_wo_demo_025
12,0,375,1905,1184,252,403,2083,1006,224,0,0,3089,627,df_wo_demo_025
12,1,289,1378,1725,324,311,1557,1546,302,0,0,3103,613,df_wo_demo_025
12,2,2139,634,202,741,2308,688,148,572,0,0,836,2880,df_wo_demo_025
13,0,281,1387,1711,349,307,1544,1554,323,0,0,3098,630,df_wo_demo_025
13,1,218,952,2164,394,246,1091,2025,366,0,0,3116,612,df_wo_demo_025
13,2,2286,654,173,615,2426,698,129,475,0,0,827,2901,df_wo_demo_025
14,0,377,2020,1111,204,377,2020,1111,204,0,0,3131,581,df_wo_demo_025
14,1,314,1779,1379,240,314,1779,1379,240,0,0,3158,554,df_wo_demo_025
14,2,2272,593,175,672,2272,593,175,672,0,0,768,2944,df_wo_demo_025
15,0,338,1734,1356,294,357,1865,1225,275,0,0,3090,632,df_wo_demo_025
15,1,266,1434,1706,316,290,1542,1598,292,0,0,3140,582,df_wo_demo_025
15,2,2267,640,177,638,2352,656,161,553,0,0,817,2905,df_wo_demo_025
16,0,384,1920,1214,204,384,1920,1214,204,0,0,3134,588,df_wo_demo_025
16,1,332,1807,1345,238,332,1807,1345,238,0,0,3152,570,df_wo_demo_025
16,2,2325,600,185,612,2325,600,185,612,0,0,785,2937,df_wo_demo_025
17,0,319,1564,1525,311,331,1648,1441,299,0,0,3089,630,df_wo_demo_025
17,1,306,1598,1545,270,322,1688,1455,254,0,0,3143,576,df_wo_demo_025
17,2,2311,628,185,595,2388,643,170,518,0,0,813,2906,df_wo_demo_025
18,0,279,1558,1576,305,279,1558,1576,305,0,0,3134,584,df_wo_demo_025
18,1,237,1494,1675,312,237,1494,1675,312,0,0,3169,549,df_wo_demo_025
18,2,2377,625,138,578,2377,625,138,578,0,0,763,2955,df_wo_demo_025
19,0,247,1237,1870,368,287,1464,1643,328,0,0,3107,615,df_wo_demo_025
19,1,284,1675,1479,284,303,1818,1336,265,0,0,3154,568,df_wo_demo_025
19,2,2196,579,214,733,2378,635,158,551,0,0,793,2929,df_wo_demo_025
20,0,309,1558,1548,306,326,1675,1431,289,0,0,3106,615,df_wo_demo_025
20,1,274,1597,1541,309,291,1689,1449,292,0,0,3138,583,df_wo_demo_025
20,2,2273,647,164,637,2344,661,150,566,0,0,811,2910,df_wo_demo_025
21,0,362,1818,1275,264,388,1956,1137,238,0,0,3093,626,df_wo_demo_025
21,1,244,1373,1761,341,268,1485,1649,317,0,0,3134,585,df_wo_demo_025
21,2,2277,636,171,635,2365,671,136,547,0,0,807,2912,df_wo_demo_025
22,0,310,1593,1511,308,339,1739,1365,279,240,1277,1827,378,df_wo_demo_025
22,1,209,1009,2096,408,241,1177,1928,376,128,741,2364,489,df_wo_demo_025
22,2,2380,703,128,511,2493,725,106,398,2164,635,196,727,df_wo_demo_025
23,0,296,1566,1551,318,338,1753,1364,276,0,0,3117,614,df_wo_demo_025
23,1,195,1029,2116,391,232,1269,1876,354,0,0,3145,586,df_wo_demo_025
23,2,2306,614,180,631,2466,652,142,471,0,0,794,2937,df_wo_demo_025
24,0,346,1751,1345,281,346,1751,1345,281,0,0,3096,627,df_wo_demo_025
24,1,304,1559,1567,293,304,1559,1567,293,0,0,3126,597,df_wo_demo_025
24,2,2390,659,169,505,2390,659,169,505,0,0,828,2895,df_wo_demo_025
25,0,168,964,2142,450,205,1154,1952,413,275,1527,1579,343,df_wo_demo_025
25,1,93,577,2553,501,113,714,2416,481,176,1009,2121,418,df_wo_demo_025
25,2,2457,663,150,454,2544,699,114,367,2687,743,70,224,df_wo_demo_025
26,0,319,1530,1542,330,352,1697,1375,297,0,0,3072,649,df_wo_demo_025
26,1,348,1695,1400,278,377,1873,1222,249,0,0,3095,626,df_wo_demo_025
26,2,2283,663,168,607,2388,693,138,502,0,0,831,2890,df_wo_demo_025
27,0,336,1851,1274,260,359,1948,1177,237,0,0,3125,596,df_wo_demo_025
27,1,299,1878,1285,259,325,2003,1160,233,0,0,3163,558,df_wo_demo_025
27,2,2341,619,142,619,2417,640,121,543,0,0,761,2960,df_wo_demo_025
28,0,200,977,2108,436,241,1156,1929,395,186,884,2201,450,df_wo_demo_025
28,1,274,1438,1704,305,321,1647,1495,258,252,1340,1802,327,df_wo_demo_025
28,2,2452,659,146,464,2545,696,109,371,2376,640,165,540,df_wo_demo_025
29,0,300,1567,1571,289,324,1733,1405,265,0,0,3138,589,df_wo_demo_025
29,1,259,1348,1781,339,298,1534,1595,300,0,0,3129,598,df_wo_demo_025
29,2,2306,621,175,625,2414,655,141,517,0,0,796,2931,df_wo_demo_025
30,0,286,1574,1566,298,286,1574,1566,298,0,0,3140,584,df_wo_demo_025
30,1,222,1448,1733,321,222,1448,1733,321,0,0,3181,543,df_wo_demo_025
30,2,2391,611,145,577,2391,611,145,577,0,0,756,2968,df_wo_demo_025
31,0,202,1012,2106,408,222,1107,2011,388,263,1351,1767,347,df_wo_demo_025
31,1,167,844,2310,407,194,967,2187,380,257,1235,1919,317,df_wo_demo_025
31,2,2497,666,135,430,2560,689,112,367,2656,728,73,271,df_wo_demo_025
32,0,324,1712,1389,299,343,1830,1271,280,0,0,3101,623,df_wo_demo_025
32,1,284,1436,1688,316,318,1574,1550,282,0,0,3124,600,df_wo_demo_025
32,2,2306,653,170,595,2400,681,142,501,0,0,823,2901,df_wo_demo_025
33,0,301,1716,1408,297,356,1963,1161,242,0,0,3124,598,df_wo_demo_025
33,1,166,971,2178,407,213,1226,1923,360,0,0,3149,573,df_wo_demo_025
33,2,2091,585,197,849,2367,636,146,573,0,0,782,2940,df_wo_demo_025
34,0,411,2140,973,198,411,2140,973,198,0,0,3113,609,df_wo_demo_025
34,1,282,1434,1714,292,282,1434,1714,292,0,0,3148,574,df_wo_demo_025
34,2,2365,661,148,548,2365,661,148,548,0,0,809,2913,df_wo_demo_025
35,0,302,1577,1552,298,302,1577,1552,298,0,0,3129,600,df_wo_demo_025
35,1,258,1333,1807,331,258,1333,1807,331,0,0,3140,589,df_wo_demo_025
35,2,2368,650,161,550,2368,650,161,550,0,0,811,2918,df_wo_demo_025
36,0,354,1863,1227,279,354,1863,1227,279,0,0,3090,633,df_wo_demo_025
36,1,262,1464,1651,346,262,1464,1651,346,0,0,3115,608,df_wo_demo_025
36,2,2315,687,150,571,2315,687,150,571,0,0,837,2886,df_wo_demo_025
37,0,376,2021,1083,235,411,2201,903,200,0,0,3104,611,df_wo_demo_025
37,1,230,1362,1773,350,263,1529,1606,317,0,0,3135,580,df_wo_demo_025
37,2,2134,613,198,770,2363,666,145,541,0,0,811,2904,df_wo_demo_025
38,0,323,1580,1540,281,323,1580,1540,281,0,0,3120,604,df_wo_demo_025
38,1,211,1056,2090,367,211,1056,2090,367,0,0,3146,578,df_wo_demo_025
38,2,2459,662,120,483,2459,662,120,483,0,0,782,2942,df_wo_demo_025
39,0,318,1525,1563,323,318,1525,1563,323,0,0,3088,641,df_wo_demo_025
39,1,284,1416,1709,320,284,1416,1709,320,0,0,3125,604,df_wo_demo_025
39,2,2406,683,147,493,2406,683,147,493,0,0,830,2899,df_wo_demo_025
40,0,306,1407,1684,320,331,1613,1478,295,0,0,3091,626,df_wo_demo_025
40,1,265,1343,1771,338,312,1541,1573,291,0,0,3114,603,df_wo_demo_025
40,2,2366,668,148,535,2498,708,108,403,0,0,816,2901,df_wo_demo_025
41,0,352,1830,1309,225,382,1951,1188,195,0,0,3139,577,df_wo_demo_025
41,1,246,1351,1817,302,268,1521,1647,280,0,0,3168,548,df_wo_demo_025
41,2,2271,592,165,688,2412,625,132,547,0,0,757,2959,df_wo_demo_025
