run,label_idx,alpha,tp,fp,tn,fn,name
0,0,0.1,581,290,2787,68,df_ml_cc_w_demo_ip
0,1,0.1,521,308,2854,43,df_ml_cc_w_demo_ip
0,2,0.1,2614,85,710,317,df_ml_cc_w_demo_ip
1,0,0.1,546,287,2830,66,df_ml_cc_w_demo_ip
1,1,0.1,503,321,2859,46,df_ml_cc_w_demo_ip
1,2,0.1,2631,72,713,313,df_ml_cc_w_demo_ip
2,0,0.1,542,344,2781,52,df_ml_cc_w_demo_ip
2,1,0.1,492,307,2867,53,df_ml_cc_w_demo_ip
2,2,0.1,2658,70,703,288,df_ml_cc_w_demo_ip
3,0,0.1,557,294,2803,69,df_ml_cc_w_demo_ip
3,1,0.1,530,275,2854,64,df_ml_cc_w_demo_ip
3,2,0.1,2618,62,757,286,df_ml_cc_w_demo_ip
4,0,0.1,553,303,2816,54,df_ml_cc_w_demo_ip
4,1,0.1,518,299,2850,59,df_ml_cc_w_demo_ip
4,2,0.1,2657,74,712,283,df_ml_cc_w_demo_ip
5,0,0.1,557,313,2806,47,df_ml_cc_w_demo_ip
5,1,0.1,538,352,2766,67,df_ml_cc_w_demo_ip
5,2,0.1,2614,69,751,289,df_ml_cc_w_demo_ip
6,0,0.1,545,327,2802,48,df_ml_cc_w_demo_ip
6,1,0.1,527,320,2814,61,df_ml_cc_w_demo_ip
6,2,0.1,2666,82,693,281,df_ml_cc_w_demo_ip
7,0,0.1,518,294,2842,66,df_ml_cc_w_demo_ip
7,1,0.1,519,281,2852,68,df_ml_cc_w_demo_ip
7,2,0.1,2634,93,684,309,df_ml_cc_w_demo_ip
8,0,0.1,542,296,2834,52,df_ml_cc_w_demo_ip
8,1,0.1,481,374,2811,58,df_ml_cc_w_demo_ip
8,2,0.1,2669,100,670,285,df_ml_cc_w_demo_ip
9,0,0.1,543,289,2832,58,df_ml_cc_w_demo_ip
9,1,0.1,516,277,2873,56,df_ml_cc_w_demo_ip
9,2,0.1,2632,68,731,291,df_ml_cc_w_demo_ip
10,0,0.1,566,305,2802,44,df_ml_cc_w_demo_ip
10,1,0.1,531,315,2823,48,df_ml_cc_w_demo_ip
10,2,0.1,2590,60,746,321,df_ml_cc_w_demo_ip
11,0,0.1,529,310,2818,63,df_ml_cc_w_demo_ip
11,1,0.1,495,317,2852,56,df_ml_cc_w_demo_ip
11,2,0.1,2681,76,699,264,df_ml_cc_w_demo_ip
12,0,0.1,581,298,2791,46,df_ml_cc_w_demo_ip
12,1,0.1,556,333,2770,57,df_ml_cc_w_demo_ip
12,2,0.1,2613,86,750,267,df_ml_cc_w_demo_ip
13,0,0.1,566,330,2768,64,df_ml_cc_w_demo_ip
13,1,0.1,560,342,2774,52,df_ml_cc_w_demo_ip
13,2,0.1,2598,73,754,303,df_ml_cc_w_demo_ip
14,0,0.1,520,314,2817,61,df_ml_cc_w_demo_ip
14,1,0.1,513,304,2854,41,df_ml_cc_w_demo_ip
14,2,0.1,2674,61,707,270,df_ml_cc_w_demo_ip
15,0,0.1,556,360,2730,76,df_ml_cc_w_demo_ip
15,1,0.1,531,333,2807,51,df_ml_cc_w_demo_ip
15,2,0.1,2568,94,723,337,df_ml_cc_w_demo_ip
16,0,0.1,528,315,2819,60,df_ml_cc_w_demo_ip
16,1,0.1,515,321,2831,55,df_ml_cc_w_demo_ip
16,2,0.1,2642,83,702,295,df_ml_cc_w_demo_ip
17,0,0.1,569,302,2787,61,df_ml_cc_w_demo_ip
17,1,0.1,504,349,2794,72,df_ml_cc_w_demo_ip
17,2,0.1,2605,92,721,301,df_ml_cc_w_demo_ip
18,0,0.1,514,298,2836,70,df_ml_cc_w_demo_ip
18,1,0.1,510,337,2832,39,df_ml_cc_w_demo_ip
18,2,0.1,2663,83,680,292,df_ml_cc_w_demo_ip
19,0,0.1,544,301,2806,71,df_ml_cc_w_demo_ip
19,1,0.1,505,290,2864,63,df_ml_cc_w_demo_ip
19,2,0.1,2651,83,710,278,df_ml_cc_w_demo_ip
20,0,0.1,565,310,2796,50,df_ml_cc_w_demo_ip
20,1,0.1,513,303,2835,70,df_ml_cc_w_demo_ip
20,2,0.1,2605,74,737,305,df_ml_cc_w_demo_ip
21,0,0.1,534,319,2774,92,df_ml_cc_w_demo_ip
21,1,0.1,534,293,2841,51,df_ml_cc_w_demo_ip
21,2,0.1,2612,88,719,300,df_ml_cc_w_demo_ip
22,0,0.1,551,317,2787,67,df_ml_cc_w_demo_ip
22,1,0.1,568,321,2784,49,df_ml_cc_w_demo_ip
22,2,0.1,2559,96,735,332,df_ml_cc_w_demo_ip
23,0,0.1,564,301,2816,50,df_ml_cc_w_demo_ip
23,1,0.1,539,334,2811,47,df_ml_cc_w_demo_ip
23,2,0.1,2632,88,706,305,df_ml_cc_w_demo_ip
24,0,0.1,570,293,2803,57,df_ml_cc_w_demo_ip
24,1,0.1,551,251,2875,46,df_ml_cc_w_demo_ip
24,2,0.1,2649,48,780,246,df_ml_cc_w_demo_ip
25,0,0.1,552,295,2811,66,df_ml_cc_w_demo_ip
25,1,0.1,540,318,2812,54,df_ml_cc_w_demo_ip
25,2,0.1,2619,77,736,292,df_ml_cc_w_demo_ip
26,0,0.1,585,291,2781,64,df_ml_cc_w_demo_ip
26,1,0.1,575,314,2781,51,df_ml_cc_w_demo_ip
26,2,0.1,2644,98,733,246,df_ml_cc_w_demo_ip
27,0,0.1,555,310,2815,41,df_ml_cc_w_demo_ip
27,1,0.1,477,280,2883,81,df_ml_cc_w_demo_ip
27,2,0.1,2685,72,689,275,df_ml_cc_w_demo_ip
28,0,0.1,580,301,2784,56,df_ml_cc_w_demo_ip
28,1,0.1,526,305,2837,53,df_ml_cc_w_demo_ip
28,2,0.1,2643,75,730,273,df_ml_cc_w_demo_ip
29,0,0.1,512,314,2824,77,df_ml_cc_w_demo_ip
29,1,0.1,556,302,2827,42,df_ml_cc_w_demo_ip
29,2,0.1,2635,86,710,296,df_ml_cc_w_demo_ip
30,0,0.1,509,330,2810,75,df_ml_cc_w_demo_ip
30,1,0.1,489,350,2831,54,df_ml_cc_w_demo_ip
30,2,0.1,2653,70,686,315,df_ml_cc_w_demo_ip
31,0,0.1,559,332,2786,51,df_ml_cc_w_demo_ip
31,1,0.1,527,317,2837,47,df_ml_cc_w_demo_ip
31,2,0.1,2626,69,732,301,df_ml_cc_w_demo_ip
32,0,0.1,562,285,2816,61,df_ml_cc_w_demo_ip
32,1,0.1,538,323,2801,62,df_ml_cc_w_demo_ip
32,2,0.1,2610,79,744,291,df_ml_cc_w_demo_ip
33,0,0.1,542,317,2807,56,df_ml_cc_w_demo_ip
33,1,0.1,513,273,2876,60,df_ml_cc_w_demo_ip
33,2,0.1,2669,89,693,271,df_ml_cc_w_demo_ip
34,0,0.1,553,283,2830,56,df_ml_cc_w_demo_ip
34,1,0.1,525,280,2868,49,df_ml_cc_w_demo_ip
34,2,0.1,2631,75,734,282,df_ml_cc_w_demo_ip
35,0,0.1,525,283,2846,75,df_ml_cc_w_demo_ip
35,1,0.1,533,287,2853,56,df_ml_cc_w_demo_ip
35,2,0.1,2626,105,706,292,df_ml_cc_w_demo_ip
36,0,0.1,573,303,2787,60,df_ml_cc_w_demo_ip
36,1,0.1,565,340,2775,43,df_ml_cc_w_demo_ip
36,2,0.1,2622,86,751,264,df_ml_cc_w_demo_ip
37,0,0.1,522,287,2817,89,df_ml_cc_w_demo_ip
37,1,0.1,509,284,2851,71,df_ml_cc_w_demo_ip
37,2,0.1,2586,105,706,318,df_ml_cc_w_demo_ip
38,0,0.1,555,295,2825,49,df_ml_cc_w_demo_ip
38,1,0.1,520,343,2803,58,df_ml_cc_w_demo_ip
38,2,0.1,2684,67,715,258,df_ml_cc_w_demo_ip
39,0,0.1,577,298,2790,64,df_ml_cc_w_demo_ip
39,1,0.1,551,329,2796,53,df_ml_cc_w_demo_ip
39,2,0.1,2592,68,762,307,df_ml_cc_w_demo_ip
40,0,0.1,559,272,2819,67,df_ml_cc_w_demo_ip
40,1,0.1,551,316,2798,52,df_ml_cc_w_demo_ip
40,2,0.1,2625,65,751,276,df_ml_cc_w_demo_ip
41,0,0.1,528,304,2835,49,df_ml_cc_w_demo_ip
41,1,0.1,491,321,2847,57,df_ml_cc_w_demo_ip
41,2,0.1,2686,71,686,273,df_ml_cc_w_demo_ip
42,0,0.1,573,295,2794,67,df_ml_cc_w_demo_ip
42,1,0.1,545,314,2811,59,df_ml_cc_w_demo_ip
42,2,0.1,2659,91,732,247,df_ml_cc_w_demo_ip
43,0,0.1,541,344,2775,63,df_ml_cc_w_demo_ip
43,1,0.1,515,316,2835,57,df_ml_cc_w_demo_ip
43,2,0.1,2625,78,695,325,df_ml_cc_w_demo_ip
44,0,0.1,557,329,2785,53,df_ml_cc_w_demo_ip
44,1,0.1,542,295,2835,52,df_ml_cc_w_demo_ip
44,2,0.1,2625,93,724,282,df_ml_cc_w_demo_ip
45,0,0.1,540,287,2844,52,df_ml_cc_w_demo_ip
45,1,0.1,535,306,2835,47,df_ml_cc_w_demo_ip
45,2,0.1,2678,85,704,256,df_ml_cc_w_demo_ip
46,0,0.1,548,311,2810,57,df_ml_cc_w_demo_ip
46,1,0.1,540,303,2841,42,df_ml_cc_w_demo_ip
46,2,0.1,2640,65,741,280,df_ml_cc_w_demo_ip
47,0,0.1,533,337,2801,48,df_ml_cc_w_demo_ip
47,1,0.1,489,324,2851,55,df_ml_cc_w_demo_ip
47,2,0.1,2670,69,687,293,df_ml_cc_w_demo_ip
48,0,0.1,579,296,2768,79,df_ml_cc_w_demo_ip
48,1,0.1,524,316,2817,65,df_ml_cc_w_demo_ip
48,2,0.1,2634,99,731,258,df_ml_cc_w_demo_ip
49,0,0.1,539,356,2771,58,df_ml_cc_w_demo_ip
49,1,0.1,523,306,2840,55,df_ml_cc_w_demo_ip
49,2,0.1,2617,81,709,317,df_ml_cc_w_demo_ip
50,0,0.1,545,322,2795,56,df_ml_cc_w_demo_ip
50,1,0.1,525,330,2822,41,df_ml_cc_w_demo_ip
50,2,0.1,2650,51,741,276,df_ml_cc_w_demo_ip
51,0,0.1,552,366,2742,62,df_ml_cc_w_demo_ip
51,1,0.1,521,316,2823,62,df_ml_cc_w_demo_ip
51,2,0.1,2585,72,736,329,df_ml_cc_w_demo_ip
52,0,0.1,562,282,2801,68,df_ml_cc_w_demo_ip
52,1,0.1,525,312,2830,46,df_ml_cc_w_demo_ip
52,2,0.1,2603,68,744,298,df_ml_cc_w_demo_ip
53,0,0.1,559,314,2788,59,df_ml_cc_w_demo_ip
53,1,0.1,537,281,2847,55,df_ml_cc_w_demo_ip
53,2,0.1,2622,78,735,285,df_ml_cc_w_demo_ip
54,0,0.1,548,312,2794,69,df_ml_cc_w_demo_ip
54,1,0.1,526,302,2841,54,df_ml_cc_w_demo_ip
54,2,0.1,2669,75,728,251,df_ml_cc_w_demo_ip
55,0,0.1,572,277,2831,53,df_ml_cc_w_demo_ip
55,1,0.1,560,336,2793,44,df_ml_cc_w_demo_ip
55,2,0.1,2653,75,738,267,df_ml_cc_w_demo_ip
56,0,0.1,575,323,2759,65,df_ml_cc_w_demo_ip
56,1,0.1,527,341,2787,67,df_ml_cc_w_demo_ip
56,2,0.1,2599,99,730,294,df_ml_cc_w_demo_ip
57,0,0.1,545,321,2800,57,df_ml_cc_w_demo_ip
57,1,0.1,498,312,2820,93,df_ml_cc_w_demo_ip
57,2,0.1,2648,81,720,274,df_ml_cc_w_demo_ip
58,0,0.1,559,286,2816,56,df_ml_cc_w_demo_ip
58,1,0.1,526,320,2816,55,df_ml_cc_w_demo_ip
58,2,0.1,2637,84,707,289,df_ml_cc_w_demo_ip
59,0,0.1,539,288,2831,71,df_ml_cc_w_demo_ip
59,1,0.1,520,316,2845,48,df_ml_cc_w_demo_ip
59,2,0.1,2671,50,743,265,df_ml_cc_w_demo_ip
60,0,0.1,546,257,2852,64,df_ml_cc_w_demo_ip
60,1,0.1,565,305,2803,46,df_ml_cc_w_demo_ip
60,2,0.1,2639,66,741,273,df_ml_cc_w_demo_ip
61,0,0.1,545,333,2754,91,df_ml_cc_w_demo_ip
61,1,0.1,535,323,2822,43,df_ml_cc_w_demo_ip
61,2,0.1,2623,75,743,282,df_ml_cc_w_demo_ip
62,0,0.1,577,284,2797,60,df_ml_cc_w_demo_ip
62,1,0.1,537,340,2796,45,df_ml_cc_w_demo_ip
62,2,0.1,2620,101,714,283,df_ml_cc_w_demo_ip
63,0,0.1,535,328,2793,65,df_ml_cc_w_demo_ip
63,1,0.1,502,320,2843,56,df_ml_cc_w_demo_ip
63,2,0.1,2675,66,718,262,df_ml_cc_w_demo_ip
64,0,0.1,577,310,2776,62,df_ml_cc_w_demo_ip
64,1,0.1,560,322,2791,52,df_ml_cc_w_demo_ip
64,2,0.1,2629,79,744,273,df_ml_cc_w_demo_ip
65,0,0.1,541,333,2770,77,df_ml_cc_w_demo_ip
65,1,0.1,558,337,2762,64,df_ml_cc_w_demo_ip
65,2,0.1,2613,85,749,274,df_ml_cc_w_demo_ip
66,0,0.1,542,322,2814,44,df_ml_cc_w_demo_ip
66,1,0.1,536,287,2847,52,df_ml_cc_w_demo_ip
66,2,0.1,2626,88,719,289,df_ml_cc_w_demo_ip
67,0,0.1,566,274,2826,54,df_ml_cc_w_demo_ip
67,1,0.1,528,311,2799,82,df_ml_cc_w_demo_ip
67,2,0.1,2599,95,722,304,df_ml_cc_w_demo_ip
68,0,0.1,569,297,2792,62,df_ml_cc_w_demo_ip
68,1,0.1,524,296,2823,77,df_ml_cc_w_demo_ip
68,2,0.1,2587,81,752,300,df_ml_cc_w_demo_ip
69,0,0.1,589,310,2772,54,df_ml_cc_w_demo_ip
69,1,0.1,510,220,2922,73,df_ml_cc_w_demo_ip
69,2,0.1,2592,104,719,310,df_ml_cc_w_demo_ip
70,0,0.1,562,288,2813,49,df_ml_cc_w_demo_ip
70,1,0.1,499,303,2831,79,df_ml_cc_w_demo_ip
70,2,0.1,2611,92,716,293,df_ml_cc_w_demo_ip
71,0,0.1,548,323,2781,71,df_ml_cc_w_demo_ip
71,1,0.1,496,262,2892,73,df_ml_cc_w_demo_ip
71,2,0.1,2658,84,723,258,df_ml_cc_w_demo_ip
72,0,0.1,585,337,2729,71,df_ml_cc_w_demo_ip
72,1,0.1,537,316,2802,67,df_ml_cc_w_demo_ip
72,2,0.1,2545,71,770,336,df_ml_cc_w_demo_ip
73,0,0.1,563,314,2789,57,df_ml_cc_w_demo_ip
73,1,0.1,514,353,2802,54,df_ml_cc_w_demo_ip
73,2,0.1,2612,69,731,311,df_ml_cc_w_demo_ip
74,0,0.1,568,330,2753,70,df_ml_cc_w_demo_ip
74,1,0.1,530,286,2848,57,df_ml_cc_w_demo_ip
74,2,0.1,2547,91,729,354,df_ml_cc_w_demo_ip
75,0,0.1,562,310,2791,57,df_ml_cc_w_demo_ip
75,1,0.1,516,348,2806,50,df_ml_cc_w_demo_ip
75,2,0.1,2624,85,711,300,df_ml_cc_w_demo_ip
76,0,0.1,549,322,2785,64,df_ml_cc_w_demo_ip
76,1,0.1,513,317,2833,57,df_ml_cc_w_demo_ip
76,2,0.1,2650,73,721,276,df_ml_cc_w_demo_ip
77,0,0.1,545,290,2826,61,df_ml_cc_w_demo_ip
77,1,0.1,521,319,2826,56,df_ml_cc_w_demo_ip
77,2,0.1,2648,75,720,279,df_ml_cc_w_demo_ip
78,0,0.1,548,284,2825,67,df_ml_cc_w_demo_ip
78,1,0.1,532,312,2824,56,df_ml_cc_w_demo_ip
78,2,0.1,2601,91,731,301,df_ml_cc_w_demo_ip
79,0,0.1,573,273,2822,53,df_ml_cc_w_demo_ip
79,1,0.1,547,307,2809,58,df_ml_cc_w_demo_ip
79,2,0.1,2603,92,739,287,df_ml_cc_w_demo_ip
80,0,0.1,542,326,2791,62,df_ml_cc_w_demo_ip
80,1,0.1,540,293,2830,58,df_ml_cc_w_demo_ip
80,2,0.1,2646,66,730,279,df_ml_cc_w_demo_ip
81,0,0.1,533,293,2837,59,df_ml_cc_w_demo_ip
81,1,0.1,519,296,2849,58,df_ml_cc_w_demo_ip
81,2,0.1,2670,93,700,259,df_ml_cc_w_demo_ip
82,0,0.1,513,313,2803,88,df_ml_cc_w_demo_ip
82,1,0.1,529,288,2834,66,df_ml_cc_w_demo_ip
82,2,0.1,2656,66,736,259,df_ml_cc_w_demo_ip
83,0,0.1,553,285,2821,62,df_ml_cc_w_demo_ip
83,1,0.1,522,320,2822,57,df_ml_cc_w_demo_ip
83,2,0.1,2666,85,712,258,df_ml_cc_w_demo_ip
84,0,0.1,576,323,2760,54,df_ml_cc_w_demo_ip
