run,base_recall_micro,crc_recall_micro,rcps_recall_micro,ltt_recall_micro,base_recall_macro,crc_recall_macro,rcps_recall_macro,ltt_recall_macro,base_recall_weighted,crc_recall_weighted,rcps_recall_weighted,ltt_recall_weighted,base_recall_samples,crc_recall_samples,rcps_recall_samples,ltt_recall_samples,base_precision_micro,crc_precision_micro,rcps_precision_micro,ltt_precision_micro,base_precision_macro,crc_precision_macro,rcps_precision_macro,ltt_precision_macro,base_precision_weighted,crc_precision_weighted,rcps_precision_weighted,ltt_precision_weighted,base_precision_samples,crc_precision_samples,rcps_precision_samples,ltt_precision_samples,base_avg_prediction_set_size,base_total_false_positives,base_total_false_negatives,crc_avg_prediction_set_size,crc_total_false_positives,crc_total_false_negatives,rcps_avg_prediction_set_size,rcps_total_false_positives,rcps_total_false_negatives,ltt_avg_prediction_set_size,ltt_total_false_positives,ltt_total_false_negatives,with_demographics
0,0.18194980694980695,0.8465250965250966,0.902027027027027,0.755550193050193,0.10343545713925244,0.7150329692035408,0.8105771125181502,0.5827379471214729,0.18194980694980695,0.8465250965250966,0.902027027027027,0.755550193050193,0.19847020933977455,0.8754696725711218,0.9214975845410628,0.7928073000536768,0.6267664172901081,0.4420362903225806,0.4079895219384414,0.48512550356368145,0.3508960659930063,0.3714266656872194,0.3679274168007461,0.3719220804821042,0.5943342313995066,0.6034504074458086,0.6020316907937975,0.6026599419096199,0.19932009303989984,0.4906065485775631,0.4364823760959026,0.5455806047593488,0.32286634460547503,449,3390,2.129898013955985,4428,636,2.4589371980676327,5424,406,1.7321524422973698,3323,1013,True
1,0.14031668696711327,0.871863580998782,0.871863580998782,0.0,0.09801881026030433,0.8031372578135554,0.8031372578135554,0.0,0.14031668696711327,0.871863580998782,0.871863580998782,0.0,0.14843121480289623,0.8836149101635827,0.8836149101635827,0.0,0.5106382978723404,0.3946410850148859,0.3946410850148859,0.0,0.3558570168090516,0.3657244579620593,0.3657244579620593,0.0,0.6050319090506765,0.6105976069010032,0.6105976069010032,0.0,0.15258782515419683,0.42227585590417444,0.42227585590417444,0.0,0.3024939662107804,552,3529,2.432019308125503,5490,526,2.432019308125503,5490,526,0.0,0,4105,True
2,0.2541003671970624,0.8629130966952264,0.8881272949816401,0.0,0.18379670443984053,0.7743067489232404,0.809225715469604,0.0,0.2541003671970624,0.8629130966952264,0.8881272949816401,0.0,0.26727614950255446,0.8776552836784082,0.9011831137402527,0.0,0.5080763582966226,0.4104086622424031,0.40599820948970455,0.0,0.36714909278627417,0.3668381900293472,0.36758263570866134,0.0,0.6150411724587916,0.613781879377029,0.6142402758816513,0.0,0.2705028233396074,0.44514654477009946,0.43681097069104596,0.0,0.5493412207582683,1005,3047,2.3094917988706642,5064,560,2.402796450658779,5308,457,0.0,0,4085,True
3,0.3411736178467507,0.8739088263821533,0.9054316197866149,0.0,0.22346956837226953,0.7861743015073444,0.833124586622021,0.0,0.3411736178467507,0.8739088263821533,0.9054316197866149,0.0,0.3662369057211926,0.89255976363148,0.9214343271555198,0.0,0.5583333333333333,0.4186802973977695,0.40790911077124753,0.0,0.36714968371837187,0.37267770040189,0.37193366762854413,0.0,0.5980865873475077,0.5985757847293935,0.5983416911262728,0.0,0.3674008416151849,0.45017459038409885,0.43352135374697826,0.0,0.6768734891216761,1113,2717,2.312113886650551,5004,520,2.4587698092935804,5420,390,0.0,0,4124,True
4,0.1542192046556741,0.8794859359844811,0.9064015518913676,0.6925315227934045,0.09874043444735785,0.7766843967688045,0.8194938993359501,0.5231595918508488,0.1542192046556741,0.8794859359844811,0.9064015518913676,0.6925315227934045,0.1659957058507783,0.8994900697799249,0.9233762748255502,0.7258454106280193,0.5740072202166066,0.4240617327253595,0.41203703703703703,0.4953173777315297,0.36645270560066817,0.37144501735994945,0.37046821569380217,0.37186566169872776,0.6218789781509635,0.6088452979131659,0.6083896535080309,0.610552079018024,0.16908212560386474,0.46837538021112896,0.4476650563607085,0.5522007514761138,0.29736983360171765,472,3488,2.2954911433172303,4926,497,2.4347826086956523,5334,386,1.5475040257648953,2910,1268,True
5,0.0622568093385214,0.8796206225680934,0.8796206225680934,0.0,0.060403723268199656,0.7973289681582273,0.7973289681582273,0.0,0.0622568093385214,0.8796206225680934,0.8796206225680934,0.0,0.0623153370937416,0.8943056674724684,0.8943056674724684,0.0,0.39384615384615385,0.40718225824608806,0.40718225824608806,0.0,0.38561092620346177,0.3684653697349454,0.3684653697349454,0.0,0.6276327067327853,0.5980551508612524,0.5980551508612524,0.0,0.06710538096517145,0.4313277822544543,0.4313277822544543,0.0,0.17459038409884503,394,3856,2.3859790491539083,5266,495,2.3859790491539083,5266,495,0.0,0,4112,True
6,0.13541666666666666,0.8616763565891473,0.8924418604651163,0.0,0.09615840210248106,0.7483939885431727,0.7974708169315426,0.0,0.13541666666666666,0.8616763565891473,0.8924418604651163,0.0,0.14306824288017195,0.885814078452445,0.9124126813541107,0.0,0.5175925925925926,0.42179532787857227,0.413282477002468,0.0,0.36873699071898386,0.3680803002131294,0.36912763022941536,0.0,0.6130686978955787,0.6097852381151055,0.6097576953838199,0.0,0.14463550062690309,0.4535643919039942,0.44138456027225503,0.0,0.2901665771090811,521,3569,2.265717356260075,4876,571,2.3949489521762493,5230,444,0.0,0,4128,True
7,0.15678172095284396,0.8449197860962567,0.8886728245017015,0.0,0.08582715205413821,0.7687048894760354,0.8246411716773904,0.0,0.15678172095284396,0.8449197860962567,0.8886728245017015,0.0,0.17056451612903226,0.8595430107526881,0.9013440860215054,0.0,0.6649484536082474,0.40678759508484497,0.3982137022110881,0.0,0.3619699531464238,0.3690164370627074,0.36916157646245606,0.0,0.6095927116373798,0.6104586631676985,0.6113094205236145,0.0,0.17231182795698924,0.4260752688172043,0.41375448028673834,0.0,0.260752688172043,325,3469,2.297043010752688,5069,638,2.468010752688172,5525,458,0.0,0,4114,True
8,0.10423293369219476,0.8840225103988255,0.8840225103988255,0.0,0.06271292087135012,0.7877067848857514,0.7877067848857514,0.0,0.10423293369219475,0.8840225103988255,0.8840225103988255,0.0,0.11224489795918367,0.9027926960257787,0.9027926960257787,0.0,0.5440613026819924,0.4060463025398966,0.4060463025398966,0.0,0.3336403854289955,0.3640641533186037,0.3640641533186037,0.0,0.5871233991258369,0.6153154001698545,0.6153154001698545,0.0,0.11126029359112065,0.43501611170784105,0.43501611170784105,0.0,0.2102577873254565,357,3661,2.3893662728249194,5285,474,2.3893662728249194,5285,474,0.0,0,4087,True
9,0.140625,0.87353515625,0.906982421875,0.0,0.082850267389748,0.8129128529147485,0.8535560341042765,0.0,0.140625,0.87353515625,0.906982421875,0.0,0.15153143471252015,0.8850080601826975,0.9172487909725954,0.0,0.631578947368421,0.3968940654464781,0.3908469226722778,0.0,0.37155785893615784,0.36789543872420577,0.36740671951496656,0.0,0.6130143307404956,0.605947960300101,0.6065428367729162,0.0,0.15260612573885007,0.42311481282464625,0.4121887873902919,0.0,0.24502955400322407,336,3520,2.4220849005910803,5437,518,2.5537345513164964,5790,381,0.0,0,4096,True
