run,base_recall_micro,crc_recall_micro,rcps_recall_micro,ltt_recall_micro,base_recall_macro,crc_recall_macro,rcps_recall_macro,ltt_recall_macro,base_recall_weighted,crc_recall_weighted,rcps_recall_weighted,ltt_recall_weighted,base_recall_samples,crc_recall_samples,rcps_recall_samples,ltt_recall_samples,base_precision_micro,crc_precision_micro,rcps_precision_micro,ltt_precision_micro,base_precision_macro,crc_precision_macro,rcps_precision_macro,ltt_precision_macro,base_precision_weighted,crc_precision_weighted,rcps_precision_weighted,ltt_precision_weighted,base_precision_samples,crc_precision_samples,rcps_precision_samples,ltt_precision_samples,base_avg_prediction_set_size,base_total_false_positives,base_total_false_negatives,crc_avg_prediction_set_size,crc_total_false_positives,crc_total_false_negatives,rcps_avg_prediction_set_size,rcps_total_false_positives,rcps_total_false_negatives,ltt_avg_prediction_set_size,ltt_total_false_positives,ltt_total_false_negatives,with_demographics
0,0.18194980694980695,0.6952220077220077,0.6952220077220077,0.755550193050193,0.10343545713925244,0.512924270314402,0.512924270314402,0.5827379471214729,0.18194980694980695,0.6952220077220077,0.6952220077220077,0.755550193050193,0.19847020933977455,0.7338969404186796,0.7338969404186796,0.7928073000536768,0.6267664172901081,0.5038474991255684,0.5038474991255684,0.48512550356368145,0.3508960659930063,0.3703078957038514,0.3703078957038514,0.3719220804821042,0.5943342313995066,0.5993450160310824,0.5993450160310824,0.6026599419096199,0.19932009303989984,0.5557344784397924,0.5557344784397924,0.5455806047593488,0.32286634460547503,449,3390,1.534621578099839,2837,1263,1.534621578099839,2837,1263,1.7321524422973698,3323,1013,True
1,0.14031668696711327,0.728380024360536,0.728380024360536,0.0,0.09801881026030433,0.6417469223473821,0.6417469223473821,0.0,0.14031668696711327,0.728380024360536,0.728380024360536,0.0,0.14843121480289623,0.7445695897023331,0.7445695897023331,0.0,0.5106382978723404,0.4204161979752531,0.4204161979752531,0.0,0.3558570168090516,0.36831361597811146,0.36831361597811146,0.0,0.6050319090506765,0.6093522016799258,0.6093522016799258,0.0,0.15258782515419683,0.4765799588808438,0.4765799588808438,0.0,0.3024939662107804,552,3529,1.9072137302225798,4122,1115,1.9072137302225798,4122,1115,0.0,0,4105,True
2,0.2541003671970624,0.7368421052631579,0.7368421052631579,0.0,0.18379670443984053,0.6247182865860346,0.6247182865860346,0.0,0.2541003671970624,0.7368421052631579,0.7368421052631579,0.0,0.26727614950255446,0.757192793761764,0.757192793761764,0.0,0.5080763582966226,0.43154121863799283,0.43154121863799283,0.0,0.36714909278627417,0.3655850808678232,0.3655850808678232,0.0,0.6150411724587916,0.6127779764375166,0.6127779764375166,0.0,0.2705028233396074,0.4774132831406292,0.4774132831406292,0.0,0.5493412207582683,1005,3047,1.8755041677870394,3965,1075,1.8755041677870394,3965,1075,0.0,0,4085,True
3,0.3411736178467507,0.7129000969932104,0.7405431619786615,0.0,0.22346956837226953,0.5714878640863731,0.604561851124926,0.0,0.3411736178467507,0.7129000969932104,0.7405431619786615,0.0,0.3662369057211926,0.7424120333064733,0.769406392694064,0.0,0.5583333333333333,0.46182846371347785,0.4538564422648239,0.0,0.36714968371837187,0.3696058896709345,0.3699491767750424,0.0,0.5980865873475077,0.596481075294706,0.5976305755480527,0.0,0.3674008416151849,0.5083713850837138,0.5000447667651535,0.0,0.6768734891216761,1113,2717,1.709911361804996,3426,1184,1.8074133763094278,3675,1070,0.0,0,4124,True
4,0.1542192046556741,0.6925315227934045,0.738360814742968,0.6925315227934045,0.09874043444735785,0.5231595918508488,0.5805347474451185,0.5231595918508488,0.1542192046556741,0.6925315227934045,0.738360814742968,0.6925315227934045,0.1659957058507783,0.7258454106280193,0.7695920558239399,0.7258454106280193,0.5740072202166066,0.4953173777315297,0.4798298140560983,0.4953173777315297,0.36645270560066817,0.37186566169872776,0.3736607122421098,0.37186566169872776,0.6218789781509635,0.610552079018024,0.6107012532318142,0.610552079018024,0.16908212560386474,0.5522007514761138,0.5417784934693147,0.5522007514761138,0.29736983360171765,472,3488,1.5475040257648953,2910,1268,1.703166935050993,3301,1079,1.5475040257648953,2910,1268,True
5,0.0622568093385214,0.6823929961089494,0.6823929961089494,0.0,0.060403723268199656,0.5326522929659713,0.5326522929659713,0.0,0.0622568093385214,0.6823929961089494,0.6823929961089494,0.0,0.0623153370937416,0.7087026591458501,0.7087026591458501,0.0,0.39384615384615385,0.4746278755074425,0.4746278755074425,0.0,0.38561092620346177,0.3695842206027229,0.3695842206027229,0.0,0.6276327067327853,0.5989209807612327,0.5989209807612327,0.0,0.06710538096517145,0.5061778135911899,0.5061778135911899,0.0,0.17459038409884503,394,3856,1.5879666935267258,3106,1306,1.5879666935267258,3106,1306,0.0,0,4112,True
6,0.13541666666666666,0.6654554263565892,0.7330426356589147,0.0,0.09615840210248106,0.5340487744381491,0.5940178300814865,0.0,0.13541666666666666,0.6654554263565892,0.7330426356589147,0.0,0.14306824288017195,0.6930413756045137,0.7619559376679205,0.0,0.5175925925925926,0.4639419017057929,0.45703066002114484,0.0,0.36873699071898386,0.3701038041855147,0.36982405950755304,0.0,0.6130686978955787,0.607698884093009,0.6101265214462362,0.0,0.14463550062690309,0.4863872469998209,0.4939548629768941,0.0,0.2901665771090811,521,3569,1.5908113917248792,3174,1381,1.7788823213326168,3595,1102,0.0,0,4128,True
7,0.15678172095284396,0.6929995138551288,0.7455031599416626,0.0,0.08582715205413821,0.5935124879603264,0.6535262421290616,0.0,0.15678172095284396,0.6929995138551288,0.7455031599416626,0.0,0.17056451612903226,0.7131720430107527,0.763978494623656,0.0,0.6649484536082474,0.44325248756218905,0.42937141257174855,0.0,0.3619699531464238,0.37396693410822546,0.37206762491895073,0.0,0.6095927116373798,0.613516626338198,0.6115469180750226,0.0,0.17231182795698924,0.46586021505376346,0.45268817204301076,0.0,0.260752688172043,325,3469,1.729032258064516,3581,1263,1.9201612903225806,4076,1047,0.0,0,4114,True
8,0.10423293369219476,0.6958649376070467,0.6958649376070467,0.0,0.06271292087135012,0.5689383545397989,0.5689383545397989,0.0,0.10423293369219475,0.6958649376070467,0.6958649376070467,0.0,0.11224489795918367,0.7207303974221267,0.7207303974221267,0.0,0.5440613026819924,0.44120384734719204,0.44120384734719204,0.0,0.3336403854289955,0.3610663749239742,0.3610663749239742,0.0,0.5871233991258369,0.6079708031805996,0.6079708031805996,0.0,0.11126029359112065,0.48187432867883995,0.48187432867883995,0.0,0.2102577873254565,357,3661,1.7309344790547798,3602,1243,1.7309344790547798,3602,1243,0.0,0,4087,True
9,0.140625,0.70849609375,0.70849609375,0.0,0.082850267389748,0.6196569465646321,0.6196569465646321,0.0,0.140625,0.70849609375,0.70849609375,0.0,0.15153143471252015,0.7264911337990327,0.7264911337990327,0.0,0.631578947368421,0.429099512050865,0.429099512050865,0.0,0.37155785893615784,0.3703994996619037,0.3703994996619037,0.0,0.6130143307404956,0.6061001146943892,0.6061001146943892,0.0,0.15260612573885007,0.45759448325273144,0.45759448325273144,0.0,0.24502955400322407,336,3520,1.8170338527673293,3861,1194,1.8170338527673293,3861,1194,0.0,0,4096,True
